transaction_id,source_system,supplier_id,supplier_name,category,department,amount,currency,contract_id,contract_status,requisition_id,transaction_date
TXN000001,CORPORATE_CARD,SUP0018,Urban Upkeep,Facilities Maintenance,Facilities,5317.27,INR,,OFF_CONTRACT,,2025-05-22
TXN000002,CORPORATE_CARD,SUP0020,BrightArc Media,Marketing Services,Human Resources,39721.74,INR,,OFF_CONTRACT,,2026-03-16
TXN000022,CORPORATE_CARD,SUP0012,Cobalt Consulting,Professional Services,Facilities,17759.23,INR,,OFF_CONTRACT,REQ00746,2025-09-21
TXN000039,CORPORATE_CARD,SUP0017,GreenEdge Services,Facilities Maintenance,Facilities,11701.33,INR,,OFF_CONTRACT,,2025-08-20
TXN000046,CORPORATE_CARD,SUP0015,Voyager Corporate Travel,Travel,Operations,16501.81,INR,,OFF_CONTRACT,REQ00472,2025-09-27
TXN000052,CORPORATE_CARD,SUP0016,Prime Facility Care,Facilities Maintenance,Human Resources,10588.89,INR,CTR0006,ON_CONTRACT,,2025-09-15
TXN000056,CORPORATE_CARD,SUP0006,Vertex Licensing,IT Software & Licences,Human Resources,37538.93,INR,,OFF_CONTRACT,REQ00204,2025-06-15
TXN000082,CORPORATE_CARD,SUP0010,Kanban Stationers,Office Supplies,Logistics,6957.2,INR,,OFF_CONTRACT,REQ00749,2026-01-29
TXN000084,CORPORATE_CARD,SUP0023,FleetBridge Cargo,Logistics & Freight,Marketing,4334.71,INR,,OFF_CONTRACT,REQ00364,2025-08-11
TXN000086,CORPORATE_CARD,SUP0011,Sterling Advisory,Professional Services,Logistics,32115.48,INR,CTR0004,ON_CONTRACT,,2025-12-08
TXN000099,CORPORATE_CARD,SUP0006,Vertex Licensing,IT Software & Licences,Marketing,4053.16,INR,,OFF_CONTRACT,,2025-06-20
TXN000100,CORPORATE_CARD,SUP0004,Arcadia IT Traders,IT Hardware,Human Resources,12140.35,INR,,OFF_CONTRACT,,2025-11-19
TXN000115,CORPORATE_CARD,SUP0028,ORION OFFICE SUPPLIES,Office Supplies,Logistics,5014.59,INR,,OFF_CONTRACT,REQ00565,2025-06-14
TXN000121,CORPORATE_CARD,SUP0019,Lumen Creative,Marketing Services,Logistics,52714.32,INR,CTR0007,ON_CONTRACT,,2025-06-04
TXN000125,CORPORATE_CARD,SUP0022,Transcore Logistics,Logistics & Freight,Human Resources,6815.42,INR,CTR0008,ON_CONTRACT,,2025-05-17
TXN000126,CORPORATE_CARD,SUP0021,Pulse Marketing Co,Marketing Services,Human Resources,14375.26,INR,,OFF_CONTRACT,,2025-04-24
TXN000142,CORPORATE_CARD,SUP0023,FleetBridge Cargo,Logistics & Freight,Facilities,7522.06,INR,,OFF_CONTRACT,,2025-11-28
TXN000154,CORPORATE_CARD,SUP0015,Voyager Corporate Travel,Travel,Finance,7592.55,INR,,OFF_CONTRACT,REQ00272,2025-04-27
TXN000160,CORPORATE_CARD,SUP0014,Skyroute Travel,Travel,Operations,12171.78,INR,CTR0005,ON_CONTRACT,REQ00234,2025-10-29
TXN000163,CORPORATE_CARD,SUP0006,Vertex Licensing,IT Software & Licences,Finance,21341.61,INR,,OFF_CONTRACT,,2025-10-28
TXN000172,CORPORATE_CARD,SUP0008,Orion Office Supplies,Office Supplies,Logistics,551.63,INR,CTR0003,ON_CONTRACT,,2025-10-30
TXN000194,CORPORATE_CARD,SUP0019,Lumen Creative,Marketing Services,Marketing,37692.72,INR,CTR0007,ON_CONTRACT,REQ00597,2026-03-06
TXN000196,CORPORATE_CARD,SUP0015,Voyager Corporate Travel,Travel,R&D,9105.42,INR,,OFF_CONTRACT,REQ00019,2025-10-03
TXN000204,CORPORATE_CARD,SUP0023,FleetBridge Cargo,Logistics & Freight,Marketing,26387.23,INR,,OFF_CONTRACT,REQ00526,2025-06-15
TXN000213,CORPORATE_CARD,SUP0020,BrightArc Media,Marketing Services,R&D,34166.34,INR,,OFF_CONTRACT,,2025-04-23
TXN000214,CORPORATE_CARD,SUP0020,BrightArc Media,Marketing Services,Operations,13215.8,INR,,OFF_CONTRACT,,2026-02-16
TXN000226,CORPORATE_CARD,SUP0018,Urban Upkeep,Facilities Maintenance,IT,4878.5,INR,,OFF_CONTRACT,REQ00242,2026-02-25
TXN000229,CORPORATE_CARD,SUP0017,GreenEdge Services,Facilities Maintenance,Logistics,14285.23,INR,,OFF_CONTRACT,REQ00576,2025-05-31
TXN000232,CORPORATE_CARD,SUP0006,Vertex Licensing,IT Software & Licences,Human Resources,24593.67,INR,,OFF_CONTRACT,,2025-06-20
TXN000239,CORPORATE_CARD,SUP0008,Orion Office Supplies,Office Supplies,Human Resources,4275.6,INR,CTR0003,ON_CONTRACT,,2025-08-07
TXN000244,CORPORATE_CARD,SUP0023,FleetBridge Cargo,Logistics & Freight,R&D,10280.4,INR,,OFF_CONTRACT,REQ00075,2026-03-19
TXN000246,CORPORATE_CARD,SUP0017,GreenEdge Services,Facilities Maintenance,Marketing,26820.56,INR,,OFF_CONTRACT,,2025-12-20
TXN000256,CORPORATE_CARD,SUP0017,GreenEdge Services,Facilities Maintenance,Marketing,11738.24,INR,,OFF_CONTRACT,,2025-11-29
TXN000258,CORPORATE_CARD,SUP0008,Orion Office Supplies,Office Supplies,Logistics,7253.55,INR,CTR0003,ON_CONTRACT,,2025-09-01
TXN000262,CORPORATE_CARD,SUP0024,Nexa Technologies,IT Hardware,Marketing,36982.87,INR,,OFF_CONTRACT,REQ00209,2025-10-28
TXN000263,CORPORATE_CARD,SUP0022,Transcore Logistics,Logistics & Freight,Logistics,7220.52,INR,CTR0008,ON_CONTRACT,REQ00322,2025-06-28
TXN000267,CORPORATE_CARD,SUP0014,Skyroute Travel,Travel,Finance,17195.02,INR,CTR0005,ON_CONTRACT,,2025-06-14
TXN000270,CORPORATE_CARD,SUP0015,Voyager Corporate Travel,Travel,Operations,10457.87,INR,,OFF_CONTRACT,REQ00424,2025-09-17
TXN000279,CORPORATE_CARD,SUP0018,Urban Upkeep,Facilities Maintenance,R&D,10837.86,INR,,OFF_CONTRACT,,2025-12-20
TXN000280,CORPORATE_CARD,SUP0018,Urban Upkeep,Facilities Maintenance,Operations,802262.98,INR,,OFF_CONTRACT,REQ00393,2025-07-30
TXN000283,CORPORATE_CARD,SUP0015,Voyager Corporate Travel,Travel,Operations,16768.05,INR,,OFF_CONTRACT,,2025-12-01
TXN000288,CORPORATE_CARD,SUP0005,Cloudspan Software,IT Software & Licences,Logistics,21352.07,INR,CTR0002,ON_CONTRACT,,2025-11-19
TXN000298,CORPORATE_CARD,SUP0004,Arcadia IT Traders,IT Hardware,Operations,25185.41,INR,,OFF_CONTRACT,REQ00104,2026-01-30
TXN000299,CORPORATE_CARD,SUP0002,Zenith Computing,IT Hardware,R&D,50036.91,INR,,OFF_CONTRACT,REQ00553,2025-07-21
TXN000311,CORPORATE_CARD,SUP0021,Pulse Marketing Co,Marketing Services,Logistics,19755.25,INR,,OFF_CONTRACT,REQ00740,2025-11-27
TXN000332,CORPORATE_CARD,SUP0016,Prime Facility Care,Facilities Maintenance,Finance,18232.28,INR,CTR0006,ON_CONTRACT,REQ00280,2025-11-17
TXN000334,CORPORATE_CARD,SUP0019,Lumen Creative,Marketing Services,Facilities,14116.42,INR,CTR0007,ON_CONTRACT,REQ00390,2026-03-31
TXN000348,CORPORATE_CARD,SUP0006,Vertex Licensing,IT Software & Licences,Human Resources,3788.46,INR,,OFF_CONTRACT,,2025-11-03
TXN000356,CORPORATE_CARD,SUP0006,Vertex Licensing,IT Software & Licences,IT,20256.71,INR,,OFF_CONTRACT,,2026-02-26
TXN000359,CORPORATE_CARD,SUP0008,Orion Office Supplies,Office Supplies,Operations,6347.52,INR,CTR0003,ON_CONTRACT,REQ00440,2025-10-17
TXN000362,CORPORATE_CARD,SUP0018,Urban Upkeep,Facilities Maintenance,Marketing,15847.65,INR,,OFF_CONTRACT,,2026-03-28
TXN000363,CORPORATE_CARD,SUP0015,Voyager Corporate Travel,Travel,Marketing,11118.71,INR,,OFF_CONTRACT,REQ00145,2025-12-18
TXN000374,CORPORATE_CARD,SUP0018,Urban Upkeep,Facilities Maintenance,Operations,10185.6,INR,,OFF_CONTRACT,,2025-05-01
TXN000377,CORPORATE_CARD,SUP0026,Nexa Tech Pvt Ltd,IT Hardware,Marketing,56210.78,INR,,OFF_CONTRACT,,2025-08-05
TXN000381,CORPORATE_CARD,SUP0022,Transcore Logistics,Logistics & Freight,R&D,8832.81,INR,CTR0008,ON_CONTRACT,REQ00440,2025-07-18
TXN000389,CORPORATE_CARD,SUP0006,Vertex Licensing,IT Software & Licences,Facilities,27516.75,INR,,OFF_CONTRACT,,2025-05-23
TXN000392,CORPORATE_CARD,SUP0028,ORION OFFICE SUPPLIES,Office Supplies,Facilities,4687.88,INR,,OFF_CONTRACT,REQ00127,2026-01-27
TXN000394,CORPORATE_CARD,SUP0011,Sterling Advisory,Professional Services,IT,67467.94,INR,CTR0004,ON_CONTRACT,,2026-03-04
TXN000395,CORPORATE_CARD,SUP0015,Voyager Corporate Travel,Travel,Operations,7426.2,INR,,OFF_CONTRACT,REQ00116,2025-08-02
TXN000401,CORPORATE_CARD,SUP0016,Prime Facility Care,Facilities Maintenance,Facilities,6480.77,INR,CTR0006,ON_CONTRACT,REQ00448,2025-08-01
TXN000403,CORPORATE_CARD,SUP0015,Voyager Corporate Travel,Travel,IT,10019.29,INR,,OFF_CONTRACT,REQ00356,2025-12-24
TXN000420,CORPORATE_CARD,SUP0020,BrightArc Media,Marketing Services,Operations,30758.75,INR,,OFF_CONTRACT,REQ00789,2026-01-25
TXN000433,CORPORATE_CARD,SUP0009,Paperline Traders,Office Supplies,R&D,6311.78,INR,,OFF_CONTRACT,,2025-10-01
TXN000446,CORPORATE_CARD,SUP0019,Lumen Creative,Marketing Services,R&D,28722.79,INR,CTR0007,ON_CONTRACT,,2026-01-16
TXN000448,CORPORATE_CARD,SUP0022,Transcore Logistics,Logistics & Freight,Marketing,16500.94,INR,CTR0008,ON_CONTRACT,,2025-05-16
TXN000456,CORPORATE_CARD,SUP0021,Pulse Marketing Co,Marketing Services,Human Resources,32828.32,INR,,OFF_CONTRACT,REQ00051,2025-10-19
TXN000462,CORPORATE_CARD,SUP0001,Nexa Technologies Pvt Ltd,IT Hardware,R&D,22488.7,INR,CTR0001,ON_CONTRACT,,2026-01-27
TXN000471,CORPORATE_CARD,SUP0020,BrightArc Media,Marketing Services,Human Resources,6979.4,INR,,OFF_CONTRACT,REQ00634,2026-02-06
TXN000490,CORPORATE_CARD,SUP0019,Lumen Creative,Marketing Services,Human Resources,52992.8,INR,CTR0007,ON_CONTRACT,REQ00429,2025-10-25
TXN000491,CORPORATE_CARD,SUP0021,Pulse Marketing Co,Marketing Services,Operations,26948.56,INR,,OFF_CONTRACT,,2026-02-21
TXN000494,CORPORATE_CARD,SUP0010,Kanban Stationers,Office Supplies,Human Resources,1370.86,INR,,OFF_CONTRACT,REQ00340,2025-10-08
TXN000505,CORPORATE_CARD,SUP0016,Prime Facility Care,Facilities Maintenance,Logistics,9712.93,INR,CTR0006,ON_CONTRACT,REQ00193,2025-06-24
TXN000507,CORPORATE_CARD,SUP0027,Orion Office Supplies Ltd,Office Supplies,IT,8896.81,INR,,OFF_CONTRACT,,2025-04-25
TXN000510,CORPORATE_CARD,SUP0014,Skyroute Travel,Travel,Facilities,18608.7,INR,CTR0005,ON_CONTRACT,REQ00804,2025-05-25
TXN000520,CORPORATE_CARD,SUP0008,Orion Office Supplies,Office Supplies,Marketing,914.99,INR,CTR0003,ON_CONTRACT,REQ00605,2025-12-04
