transaction_id,source_system,supplier_id,supplier_name,category,department,amount,currency,contract_id,contract_status,requisition_id,transaction_date,normalised_supplier,is_credit_note
TXN000001,CORPORATE_CARD,SUP0018,Urban Upkeep,Facilities Maintenance,Facilities,5317.27,INR,,OFF_CONTRACT,,2025-05-22,urban upkeep,False
TXN000002,CORPORATE_CARD,SUP0020,BrightArc Media,Marketing Services,Human Resources,39721.74,INR,,OFF_CONTRACT,,2026-03-16,brightarc media,False
TXN000022,CORPORATE_CARD,SUP0012,Cobalt Consulting,Professional Services,Facilities,17759.23,INR,,OFF_CONTRACT,REQ00746,2025-09-21,cobalt consulting,False
TXN000039,CORPORATE_CARD,SUP0017,GreenEdge Services,Facilities Maintenance,Facilities,11701.33,INR,,OFF_CONTRACT,,2025-08-20,greenedge services,False
TXN000046,CORPORATE_CARD,SUP0015,Voyager Corporate Travel,Travel,Operations,16501.81,INR,,OFF_CONTRACT,REQ00472,2025-09-27,voyager corporate travel,False
TXN000052,CORPORATE_CARD,SUP0016,Prime Facility Care,Facilities Maintenance,Human Resources,10588.89,INR,CTR0006,ON_CONTRACT,,2025-09-15,prime facility care,False
TXN000056,CORPORATE_CARD,SUP0006,Vertex Licensing,It Software & Licences,Human Resources,37538.93,INR,,NO_CONTRACT,REQ00204,2025-06-15,vertex licensing,False
TXN000082,CORPORATE_CARD,SUP0010,Kanban Stationers,Office Supplies,Logistics,6957.2,INR,,OFF_CONTRACT,REQ00749,2026-01-29,kanban stationers,False
TXN000084,CORPORATE_CARD,SUP0023,FleetBridge Cargo,Logistics & Freight,Marketing,4334.71,INR,,OFF_CONTRACT,REQ00364,2025-08-11,fleetbridge cargo,False
TXN000086,CORPORATE_CARD,SUP0011,Sterling Advisory,Professional Services,Logistics,32115.48,INR,CTR0004,ON_CONTRACT,,2025-12-08,sterling advisory,False
TXN000099,CORPORATE_CARD,SUP0006,Vertex Licensing,It Software & Licences,Marketing,4053.16,INR,,NO_CONTRACT,,2025-06-20,vertex licensing,False
TXN000100,CORPORATE_CARD,SUP0004,Arcadia IT Traders,It Hardware,Human Resources,12140.35,INR,,NO_CONTRACT,,2025-11-19,arcadia it traders,False
TXN000115,CORPORATE_CARD,SUP0028,ORION OFFICE SUPPLIES,Office Supplies,Logistics,5014.59,INR,,OFF_CONTRACT,REQ00565,2025-06-14,orion office supplies,False
TXN000121,CORPORATE_CARD,SUP0019,Lumen Creative,Marketing Services,Logistics,52714.32,INR,CTR0007,ON_CONTRACT,,2025-06-04,lumen creative,False
TXN000125,CORPORATE_CARD,SUP0022,Transcore Logistics,Logistics & Freight,Human Resources,6815.42,INR,CTR0008,ON_CONTRACT,,2025-05-17,transcore logistics,False
TXN000126,CORPORATE_CARD,SUP0021,Pulse Marketing Co,Marketing Services,Human Resources,14375.26,INR,,OFF_CONTRACT,,2025-04-24,pulse marketing,False
TXN000142,CORPORATE_CARD,SUP0023,FleetBridge Cargo,Logistics & Freight,Facilities,7522.06,INR,,OFF_CONTRACT,,2025-11-28,fleetbridge cargo,False
TXN000154,CORPORATE_CARD,SUP0015,Voyager Corporate Travel,Travel,Finance,7592.55,INR,,OFF_CONTRACT,REQ00272,2025-04-27,voyager corporate travel,False
TXN000160,CORPORATE_CARD,SUP0014,Skyroute Travel,Travel,Operations,12171.78,INR,CTR0005,ON_CONTRACT,REQ00234,2025-10-29,skyroute travel,False
TXN000163,CORPORATE_CARD,SUP0006,Vertex Licensing,It Software & Licences,Finance,21341.61,INR,,NO_CONTRACT,,2025-10-28,vertex licensing,False
TXN000172,CORPORATE_CARD,SUP0008,Orion Office Supplies,Office Supplies,Logistics,551.63,INR,CTR0003,ON_CONTRACT,,2025-10-30,orion office supplies,False
TXN000194,CORPORATE_CARD,SUP0019,Lumen Creative,Marketing Services,Marketing,37692.72,INR,CTR0007,ON_CONTRACT,REQ00597,2026-03-06,lumen creative,False
TXN000196,CORPORATE_CARD,SUP0015,Voyager Corporate Travel,Travel,R&D,9105.42,INR,,OFF_CONTRACT,REQ00019,2025-10-03,voyager corporate travel,False
TXN000204,CORPORATE_CARD,SUP0023,FleetBridge Cargo,Logistics & Freight,Marketing,26387.23,INR,,OFF_CONTRACT,REQ00526,2025-06-15,fleetbridge cargo,False
TXN000213,CORPORATE_CARD,SUP0020,BrightArc Media,Marketing Services,R&D,34166.34,INR,,OFF_CONTRACT,,2025-04-23,brightarc media,False
TXN000214,CORPORATE_CARD,SUP0020,BrightArc Media,Marketing Services,Operations,13215.8,INR,,OFF_CONTRACT,,2026-02-16,brightarc media,False
TXN000226,CORPORATE_CARD,SUP0018,Urban Upkeep,Facilities Maintenance,It,4878.5,INR,,OFF_CONTRACT,REQ00242,2026-02-25,urban upkeep,False
TXN000229,CORPORATE_CARD,SUP0017,GreenEdge Services,Facilities Maintenance,Logistics,14285.23,INR,,OFF_CONTRACT,REQ00576,2025-05-31,greenedge services,False
TXN000232,CORPORATE_CARD,SUP0006,Vertex Licensing,It Software & Licences,Human Resources,24593.67,INR,,NO_CONTRACT,,2025-06-20,vertex licensing,False
TXN000239,CORPORATE_CARD,SUP0008,Orion Office Supplies,Office Supplies,Human Resources,4275.6,INR,CTR0003,ON_CONTRACT,,2025-08-07,orion office supplies,False
TXN000244,CORPORATE_CARD,SUP0023,FleetBridge Cargo,Logistics & Freight,R&D,10280.4,INR,,OFF_CONTRACT,REQ00075,2026-03-19,fleetbridge cargo,False
TXN000246,CORPORATE_CARD,SUP0017,GreenEdge Services,Facilities Maintenance,Marketing,26820.56,INR,,OFF_CONTRACT,,2025-12-20,greenedge services,False
TXN000256,CORPORATE_CARD,SUP0017,GreenEdge Services,Facilities Maintenance,Marketing,11738.24,INR,,OFF_CONTRACT,,2025-11-29,greenedge services,False
TXN000258,CORPORATE_CARD,SUP0008,Orion Office Supplies,Office Supplies,Logistics,7253.55,INR,CTR0003,ON_CONTRACT,,2025-09-01,orion office supplies,False
TXN000262,CORPORATE_CARD,SUP0024,Nexa Technologies,It Hardware,Marketing,36982.87,INR,,NO_CONTRACT,REQ00209,2025-10-28,nexa technologies,False
TXN000263,CORPORATE_CARD,SUP0022,Transcore Logistics,Logistics & Freight,Logistics,7220.52,INR,CTR0008,ON_CONTRACT,REQ00322,2025-06-28,transcore logistics,False
TXN000267,CORPORATE_CARD,SUP0014,Skyroute Travel,Travel,Finance,17195.02,INR,CTR0005,ON_CONTRACT,,2025-06-14,skyroute travel,False
TXN000270,CORPORATE_CARD,SUP0015,Voyager Corporate Travel,Travel,Operations,10457.87,INR,,OFF_CONTRACT,REQ00424,2025-09-17,voyager corporate travel,False
TXN000279,CORPORATE_CARD,SUP0018,Urban Upkeep,Facilities Maintenance,R&D,10837.86,INR,,OFF_CONTRACT,,2025-12-20,urban upkeep,False
TXN000280,CORPORATE_CARD,SUP0018,Urban Upkeep,Facilities Maintenance,Operations,802262.98,INR,,OFF_CONTRACT,REQ00393,2025-07-30,urban upkeep,False
TXN000283,CORPORATE_CARD,SUP0015,Voyager Corporate Travel,Travel,Operations,16768.05,INR,,OFF_CONTRACT,,2025-12-01,voyager corporate travel,False
