transaction_id,source_system,supplier_id,supplier_name,category,department,amount,currency,contract_id,contract_status,requisition_id,transaction_date
TXN000004,INVOICE_SYSTEM,SUP0011,Sterling Advisory,Professional Services,IT,165718.28,INR,CTR0004,ON_CONTRACT,REQ00033,2025-09-09
TXN000007,INVOICE_SYSTEM,SUP0019,Lumen Creative,Marketing Services,Marketing,28131.71,INR,CTR0007,ON_CONTRACT,REQ00094,2025-04-25
TXN000013,INVOICE_SYSTEM,SUP0011,Sterling Advisory,Professional Services,IT,214812.95,INR,CTR0004,ON_CONTRACT,,2025-12-07
TXN000017,INVOICE_SYSTEM,SUP0021,Pulse Marketing Co,Marketing Services,Operations,62593.91,INR,,OFF_CONTRACT,,2025-10-22
TXN000020,INVOICE_SYSTEM,SUP0001,Nexa Technologies Pvt Ltd,IT Hardware,Finance,70140.52,INR,CTR0001,ON_CONTRACT,REQ00244,2025-08-21
TXN000024,INVOICE_SYSTEM,SUP0022,Transcore Logistics,Logistics & Freight,Logistics,350982.73,INR,,OFF_CONTRACT,,2026-01-07
TXN000025,INVOICE_SYSTEM,SUP0005,Cloudspan Software,IT Software & Licences,IT,62887.35,INR,CTR0002,ON_CONTRACT,,2025-07-31
TXN000031,INVOICE_SYSTEM,SUP0011,Sterling Advisory,Professional Services,Operations,167584.42,INR,CTR0004,ON_CONTRACT,,2025-04-21
TXN000034,INVOICE_SYSTEM,SUP0001,Nexa Technologies Pvt Ltd,IT Hardware,Facilities,172077.26,INR,CTR0001,ON_CONTRACT,REQ00219,2025-12-16
TXN000036,INVOICE_SYSTEM,SUP0014,Skyroute Travel,Travel,Human Resources,74288.58,INR,CTR0005,ON_CONTRACT,,2026-03-01
TXN000040,INVOICE_SYSTEM,SUP0001,Nexa Technologies Pvt Ltd,IT Hardware,Human Resources,93223.64,INR,CTR0001,ON_CONTRACT,REQ00453,2026-01-08
TXN000044,INVOICE_SYSTEM,SUP0009,Paperline Traders,Office Supplies,Marketing,22914.37,INR,,OFF_CONTRACT,,2025-04-13
TXN000045,INVOICE_SYSTEM,SUP0010,Kanban Stationers,Office Supplies,R&D,7951.94,INR,,OFF_CONTRACT,,2025-08-06
TXN000049,INVOICE_SYSTEM,SUP0014,Skyroute Travel,Travel,Human Resources,52830.24,INR,CTR0005,ON_CONTRACT,REQ00611,2025-11-09
TXN000057,INVOICE_SYSTEM,SUP0001,Nexa Technologies Pvt Ltd,IT Hardware,Facilities,38716.34,INR,CTR0001,ON_CONTRACT,REQ00645,2026-01-20
TXN000059,INVOICE_SYSTEM,SUP0026,Nexa Tech Pvt Ltd,IT Hardware,Facilities,32010.23,INR,,OFF_CONTRACT,,2025-07-22
TXN000065,INVOICE_SYSTEM,SUP0014,Skyroute Travel,Travel,Facilities,31036.63,INR,CTR0005,ON_CONTRACT,REQ00237,2025-10-14
TXN000068,INVOICE_SYSTEM,SUP0019,Lumen Creative,Marketing Services,Human Resources,132307.58,INR,CTR0007,ON_CONTRACT,,2025-11-01
TXN000070,INVOICE_SYSTEM,SUP0020,BrightArc Media,Marketing Services,IT,158164.17,INR,,OFF_CONTRACT,,2026-01-29
TXN000074,INVOICE_SYSTEM,SUP0011,Sterling Advisory,Professional Services,IT,211246.9,INR,CTR0004,ON_CONTRACT,,2025-08-05
TXN000079,INVOICE_SYSTEM,SUP0007,Meridian Softworks,,Finance,52638.9,INR,,OFF_CONTRACT,REQ00678,2025-10-07
TXN000081,INVOICE_SYSTEM,SUP0021,Pulse Marketing Co,Marketing Services,Logistics,140834.48,INR,,OFF_CONTRACT,,2025-11-09
TXN000091,INVOICE_SYSTEM,SUP0015,Voyager Corporate Travel,Travel,Operations,17806.73,INR,,OFF_CONTRACT,REQ00370,2025-07-01
TXN000096,INVOICE_SYSTEM,SUP0001,Nexa Technologies Pvt Ltd,IT Hardware,Human Resources,101538.32,INR,CTR0001,ON_CONTRACT,REQ00255,2025-05-31
TXN000097,INVOICE_SYSTEM,SUP0019,Lumen Creative,Marketing Services,Operations,93182.6,INR,CTR0007,ON_CONTRACT,,2025-10-12
TXN000098,INVOICE_SYSTEM,SUP0023,FleetBridge Cargo,Logistics & Freight,R&D,47485.9,INR,,OFF_CONTRACT,REQ00636,2025-05-01
TXN000101,INVOICE_SYSTEM,SUP0005,Cloudspan Software,IT Software & Licences,Operations,18300.06,INR,CTR0002,ON_CONTRACT,REQ00558,2025-07-25
TXN000106,INVOICE_SYSTEM,SUP0014,Skyroute Travel,Travel,Marketing,28441.96,INR,CTR0005,ON_CONTRACT,REQ00668,2025-11-13
TXN000112,INVOICE_SYSTEM,SUP0022,Transcore Logistics,Logistics & Freight,Operations,25381.37,INR,CTR0008,ON_CONTRACT,REQ00135,2025-08-26
TXN000117,INVOICE_SYSTEM,SUP0019,Lumen Creative,Marketing Services,Human Resources,132514.09,INR,CTR0007,ON_CONTRACT,,2025-08-23
TXN000118,INVOICE_SYSTEM,SUP0015,Voyager Corporate Travel,Travel,Logistics,23298.74,INR,,OFF_CONTRACT,REQ00354,2025-09-18
TXN000120,INVOICE_SYSTEM,SUP0019,Lumen Creative,Marketing Services,IT,95507.91,INR,CTR0007,ON_CONTRACT,REQ00485,2026-03-28
TXN000123,INVOICE_SYSTEM,SUP0008,Orion Office Supplies,Office Supplies,Human Resources,9314.08,INR,CTR0003,ON_CONTRACT,REQ00710,2025-10-21
TXN000124,INVOICE_SYSTEM,SUP0007,Meridian Softworks,IT Software & Licences,R&D,26555.45,INR,,OFF_CONTRACT,,2026-02-15
TXN000136,INVOICE_SYSTEM,SUP0008,Orion Office Supplies,Office Supplies,IT,9433.67,INR,CTR0003,ON_CONTRACT,REQ00452,2025-04-18
TXN000137,INVOICE_SYSTEM,SUP0016,Prime Facility Care,Facilities Maintenance,Finance,41127.44,INR,CTR0006,ON_CONTRACT,,2025-06-29
TXN000139,INVOICE_SYSTEM,SUP0015,Voyager Corporate Travel,Travel,Human Resources,37817.63,INR,,OFF_CONTRACT,,2025-09-21
TXN000143,INVOICE_SYSTEM,SUP0001,Nexa Technologies Pvt Ltd,IT Hardware,Finance,102073.52,INR,CTR0001,ON_CONTRACT,,2025-07-23
TXN000147,INVOICE_SYSTEM,SUP0019,Lumen Creative,Marketing Services,R&D,105339.01,INR,CTR0007,ON_CONTRACT,,2025-08-22
TXN000157,INVOICE_SYSTEM,SUP0014,Skyroute Travel,Travel,IT,63115.11,INR,CTR0005,ON_CONTRACT,,2025-10-23
TXN000164,INVOICE_SYSTEM,SUP0017,GreenEdge Services,Facilities Maintenance,IT,42146.48,INR,,OFF_CONTRACT,,2026-02-02
TXN000167,INVOICE_SYSTEM,SUP0013,Adept Partners,Professional Services,IT,107363.81,INR,,OFF_CONTRACT,,2026-03-03
TXN000175,INVOICE_SYSTEM,SUP0001,Nexa Technologies Pvt Ltd,IT Hardware,Marketing,125001.78,INR,CTR0001,ON_CONTRACT,,2025-08-27
TXN000177,INVOICE_SYSTEM,SUP0011,Sterling Advisory,Professional Services,Finance,185096.93,INR,CTR0004,ON_CONTRACT,REQ00883,2025-04-22
TXN000178,INVOICE_SYSTEM,SUP0019,Lumen Creative,Marketing Services,Finance,74142.95,INR,CTR0007,ON_CONTRACT,,2026-01-19
TXN000183,INVOICE_SYSTEM,SUP0018,Urban Upkeep,Facilities Maintenance,Operations,65481.62,INR,,OFF_CONTRACT,REQ00263,2025-07-11
TXN000184,INVOICE_SYSTEM,SUP0008,Orion Office Supplies,Office Supplies,Facilities,22178.81,INR,CTR0003,ON_CONTRACT,REQ00792,2026-02-16
TXN000191,INVOICE_SYSTEM,SUP0006,Vertex Licensing,IT Software & Licences,Facilities,24775.79,INR,,OFF_CONTRACT,REQ00177,2025-04-21
TXN000192,INVOICE_SYSTEM,SUP0011,Sterling Advisory,Professional Services,Marketing,228415.31,INR,CTR0004,ON_CONTRACT,REQ00290,2025-10-16
TXN000195,INVOICE_SYSTEM,SUP0010,Kanban Stationers,Office Supplies,R&D,9797.69,INR,,OFF_CONTRACT,REQ00726,2025-05-14
TXN000198,INVOICE_SYSTEM,SUP0005,Cloudspan Software,IT Software & Licences,IT,109196.58,INR,CTR0002,ON_CONTRACT,,2026-02-11
TXN000202,INVOICE_SYSTEM,SUP0011,Sterling Advisory,Professional Services,Logistics,57669.39,INR,CTR0004,ON_CONTRACT,REQ00289,2025-10-13
TXN000203,INVOICE_SYSTEM,SUP0019,Lumen Creative,Marketing Services,Marketing,42628.02,INR,CTR0007,ON_CONTRACT,,2025-04-27
TXN000205,INVOICE_SYSTEM,SUP0019,Lumen Creative,Marketing Services,Logistics,104900.07,INR,CTR0007,ON_CONTRACT,,2025-04-14
TXN000207,INVOICE_SYSTEM,SUP0011,Sterling Advisory,Professional Services,Finance,61309.02,INR,CTR0004,ON_CONTRACT,,2025-06-10
TXN000208,INVOICE_SYSTEM,SUP0001,Nexa Technologies Pvt Ltd,IT Hardware,Marketing,127842.77,INR,CTR0001,ON_CONTRACT,,2025-11-27
TXN000209,INVOICE_SYSTEM,SUP0022,Transcore Logistics,Logistics & Freight,IT,12420.11,INR,CTR0008,ON_CONTRACT,REQ00856,2025-06-16
TXN000211,INVOICE_SYSTEM,SUP0022,Transcore Logistics,Logistics & Freight,Logistics,57544.9,INR,CTR0008,ON_CONTRACT,,2025-04-09
TXN000215,INVOICE_SYSTEM,SUP0007,Meridian Softworks,IT Software & Licences,Marketing,89778.82,INR,,OFF_CONTRACT,REQ00560,2025-09-21
TXN000216,INVOICE_SYSTEM,SUP0027,Orion Office Supplies Ltd,Office Supplies,Logistics,7456.73,INR,,OFF_CONTRACT,,2025-06-09
TXN000217,INVOICE_SYSTEM,SUP0005,Cloudspan Software,IT Software & Licences,IT,49166.97,INR,CTR0002,ON_CONTRACT,REQ00045,2025-07-12
TXN000219,INVOICE_SYSTEM,SUP0022,Transcore Logistics,Logistics & Freight,Operations,65919.53,INR,CTR0008,ON_CONTRACT,REQ00883,2025-04-25
TXN000220,INVOICE_SYSTEM,SUP0016,Prime Facility Care,Facilities Maintenance,R&D,60953.4,INR,CTR0006,ON_CONTRACT,,2025-11-12
TXN000225,INVOICE_SYSTEM,SUP0019,Lumen Creative,Marketing Services,IT,57128.33,INR,CTR0007,ON_CONTRACT,REQ00653,2025-10-25
TXN000227,INVOICE_SYSTEM,SUP0016,Prime Facility Care,Facilities Maintenance,IT,68380.63,INR,CTR0006,ON_CONTRACT,,2026-03-14
TXN000231,INVOICE_SYSTEM,SUP0011,Sterling Advisory,Professional Services,Logistics,206910.37,INR,CTR0004,ON_CONTRACT,REQ00731,2025-11-14
TXN000237,INVOICE_SYSTEM,SUP0016,Prime Facility Care,Facilities Maintenance,Marketing,26846.34,INR,CTR0006,ON_CONTRACT,,2025-06-06
TXN000238,INVOICE_SYSTEM,SUP0019,Lumen Creative,Marketing Services,Facilities,23404.24,INR,CTR0007,ON_CONTRACT,REQ00312,2025-06-24
TXN000243,INVOICE_SYSTEM,SUP0014,Skyroute Travel,Travel,R&D,83018.88,INR,CTR0005,ON_CONTRACT,,2025-04-16
TXN000254,INVOICE_SYSTEM,SUP0019,Lumen Creative,Marketing Services,Human Resources,64369.08,INR,CTR0007,ON_CONTRACT,,2026-02-14
TXN000257,INVOICE_SYSTEM,SUP0022,Transcore Logistics,Logistics & Freight,Marketing,89700.85,INR,CTR0008,ON_CONTRACT,REQ00628,2025-09-11
TXN000268,INVOICE_SYSTEM,SUP0014,Skyroute Travel,Travel,Facilities,65603.69,INR,CTR0005,ON_CONTRACT,REQ00453,2026-03-02
TXN000271,INVOICE_SYSTEM,SUP0022,Transcore Logistics,Logistics & Freight,IT,79176.98,INR,CTR0008,ON_CONTRACT,,2025-06-20
TXN000272,INVOICE_SYSTEM,SUP0019,Lumen Creative,Marketing Services,Logistics,133415.88,INR,CTR0007,ON_CONTRACT,REQ00205,2025-08-26
TXN000275,INVOICE_SYSTEM,SUP0019,Lumen Creative,Marketing Services,Human Resources,91587.94,INR,CTR0007,ON_CONTRACT,,2025-04-05
TXN000277,INVOICE_SYSTEM,SUP0022,Transcore Logistics,Logistics & Freight,Logistics,78258.5,INR,CTR0008,ON_CONTRACT,REQ00829,2025-05-28
TXN000284,INVOICE_SYSTEM,SUP0008,Orion Office Supplies,Office Supplies,Finance,4161.58,INR,CTR0003,ON_CONTRACT,REQ00563,2025-11-28
TXN000285,INVOICE_SYSTEM,SUP0013,Adept Partners,Professional Services,Facilities,161438.83,INR,,OFF_CONTRACT,REQ00541,2026-03-27
TXN000293,INVOICE_SYSTEM,SUP0019,Lumen Creative,Marketing Services,Logistics,135164.08,INR,CTR0007,ON_CONTRACT,,2025-10-11
TXN000294,INVOICE_SYSTEM,SUP0019,Lumen Creative,Marketing Services,Marketing,70426.69,INR,CTR0007,ON_CONTRACT,,2025-09-26
TXN000300,INVOICE_SYSTEM,SUP0001,Nexa Technologies Pvt Ltd,IT Hardware,Operations,38228.86,INR,CTR0001,ON_CONTRACT,,2026-01-20
TXN000301,INVOICE_SYSTEM,SUP0016,Prime Facility Care,Facilities Maintenance,Finance,13100.9,INR,CTR0006,ON_CONTRACT,REQ00898,2025-06-13
TXN000305,INVOICE_SYSTEM,SUP0012,Cobalt Consulting,Professional Services,Marketing,192479.18,INR,,OFF_CONTRACT,,2025-04-30
TXN000308,INVOICE_SYSTEM,SUP0002,Zenith Computing,IT Hardware,Operations,75058.25,INR,,OFF_CONTRACT,REQ00891,2025-09-18
TXN000314,INVOICE_SYSTEM,SUP0011,Sterling Advisory,Professional Services,Logistics,242156.17,INR,CTR0004,ON_CONTRACT,,2026-03-17
TXN000315,INVOICE_SYSTEM,SUP0016,Prime Facility Care,Facilities Maintenance,Logistics,60158.81,INR,CTR0006,ON_CONTRACT,REQ00751,2025-09-28
TXN000317,INVOICE_SYSTEM,SUP0001,Nexa Technologies Pvt Ltd,IT Hardware,Facilities,88387.71,INR,CTR0001,ON_CONTRACT,,2026-03-09
TXN000321,INVOICE_SYSTEM,SUP0014,Skyroute Travel,Travel,R&D,53036.59,INR,CTR0005,ON_CONTRACT,,2025-07-01
TXN000326,INVOICE_SYSTEM,SUP0008,Orion Office Supplies,Office Supplies,Finance,18971.63,INR,CTR0003,ON_CONTRACT,,2025-05-19
TXN000327,INVOICE_SYSTEM,SUP0001,Nexa Technologies Pvt Ltd,IT Hardware,Logistics,110924.88,INR,CTR0001,ON_CONTRACT,REQ00077,2026-03-17
TXN000329,INVOICE_SYSTEM,SUP0027,Orion Office Supplies Ltd,Office Supplies,Human Resources,11650.8,INR,,OFF_CONTRACT,REQ00247,2026-01-16
