transaction_id,source_system,supplier_id,supplier_name,category,department,amount,currency,contract_id,contract_status,requisition_id,transaction_date
TXN000003,ERP_EXPORT,SUP0005,Cloudspan Software,IT Software & Licences,Operations,91859.36,INR,CTR0002,ON_CONTRACT,REQ00389,2025-08-17
TXN000005,ERP_EXPORT,SUP0019,Lumen Creative,Marketing Services,Finance,41842.61,INR,CTR0007,ON_CONTRACT,REQ00512,2025-10-20
TXN000006,ERP_EXPORT,SUP0022,Transcore Logistics,Logistics & Freight,Human Resources,24947.55,INR,CTR0008,ON_CONTRACT,,2025-11-06
TXN000008,ERP_EXPORT,SUP0005,Cloudspan Software,IT Software & Licences,R&D,105948.5,INR,CTR0002,ON_CONTRACT,,2025-10-15
TXN000009,ERP_EXPORT,SUP0019,Lumen Creative,Marketing Services,Human Resources,104156.1,INR,CTR0007,ON_CONTRACT,,2025-04-06
TXN000010,ERP_EXPORT,SUP0005,Cloudspan Software,IT Software & Licences,Human Resources,89347.62,INR,CTR0002,ON_CONTRACT,,2025-09-22
TXN000011,ERP_EXPORT,SUP0005,Cloudspan Software,IT Software & Licences,IT,17161.37,INR,CTR0002,ON_CONTRACT,,2025-08-13
TXN000012,ERP_EXPORT,SUP0008,Orion Office Supplies,Office Supplies,Human Resources,24307.93,INR,CTR0003,ON_CONTRACT,,2025-12-16
TXN000014,ERP_EXPORT,SUP0001,Nexa Technologies Pvt Ltd,IT Hardware,Human Resources,57912.56,INR,CTR0001,ON_CONTRACT,REQ00247,2026-01-16
TXN000015,ERP_EXPORT,SUP0005,Cloudspan Software,IT Software & Licences,Facilities,34091.62,INR,CTR0002,ON_CONTRACT,,2025-12-29
TXN000016,ERP_EXPORT,SUP0008,Orion Office Supplies,Office Supplies,Marketing,6218.3,INR,CTR0003,ON_CONTRACT,REQ00894,2026-02-05
TXN000018,ERP_EXPORT,SUP0016,Prime Facility Care,Facilities Maintenance,Facilities,41485.39,INR,CTR0006,ON_CONTRACT,REQ00066,2025-09-21
TXN000019,ERP_EXPORT,SUP0001,Nexa Technologies Pvt Ltd,IT Hardware,Operations,91951.48,INR,CTR0001,ON_CONTRACT,REQ00725,2026-02-18
TXN000021,ERP_EXPORT,SUP0022,Transcore Logistics,Logistics & Freight,Logistics,62783.79,INR,CTR0008,ON_CONTRACT,REQ00485,2025-10-26
TXN000023,ERP_EXPORT,SUP0005,Cloudspan Software,IT Software & Licences,Logistics,45675.19,INR,CTR0002,ON_CONTRACT,REQ00188,2025-08-21
TXN000026,ERP_EXPORT,SUP0008,Orion Office Supplies,Office Supplies,R&D,20059.05,INR,CTR0003,ON_CONTRACT,,2025-06-24
TXN000027,ERP_EXPORT,SUP0019,Lumen Creative,Marketing Services,Logistics,47954.33,INR,CTR0007,ON_CONTRACT,REQ00714,2026-01-10
TXN000028,ERP_EXPORT,SUP0022,Transcore Logistics,Logistics & Freight,IT,54681.46,INR,CTR0008,ON_CONTRACT,,2026-01-03
TXN000029,ERP_EXPORT,SUP0001,Nexa Technologies Pvt Ltd,IT Hardware,Logistics,116824.26,INR,CTR0001,ON_CONTRACT,REQ00874,2025-12-28
TXN000030,ERP_EXPORT,SUP0008,Orion Office Supplies,Office Supplies,Marketing,3068.36,INR,CTR0003,ON_CONTRACT,REQ00070,2026-03-12
TXN000032,ERP_EXPORT,SUP0005,Cloudspan Software,IT Software & Licences,Finance,32905.03,INR,CTR0002,ON_CONTRACT,,2025-07-14
TXN000033,ERP_EXPORT,SUP0016,Prime Facility Care,Facilities Maintenance,Human Resources,13903.1,INR,CTR0006,ON_CONTRACT,REQ00770,2025-05-08
TXN000035,ERP_EXPORT,SUP0014,Skyroute Travel,Travel,Facilities,87181.83,INR,CTR0005,ON_CONTRACT,,2025-10-07
TXN000037,ERP_EXPORT,SUP0001,Nexa Technologies Pvt Ltd,IT Hardware,Facilities,72215.13,INR,CTR0001,ON_CONTRACT,,2025-06-08
TXN000038,ERP_EXPORT,SUP0014,Skyroute Travel,Travel,Marketing,16009.11,INR,CTR0005,ON_CONTRACT,REQ00620,2025-07-17
TXN000041,ERP_EXPORT,SUP0019,Lumen Creative,Marketing Services,Marketing,37085.35,INR,CTR0007,ON_CONTRACT,REQ00855,2025-10-07
TXN000042,ERP_EXPORT,SUP0008,Orion Office Supplies,Office Supplies,Finance,13389.07,INR,CTR0003,ON_CONTRACT,,2025-04-21
TXN000043,ERP_EXPORT,SUP0016,Prime Facility Care,Facilities Maintenance,Facilities,12063.31,INR,CTR0006,ON_CONTRACT,REQ00574,2025-10-26
TXN000047,ERP_EXPORT,SUP0014,Skyroute Travel,Travel,Operations,33560.31,INR,CTR0005,ON_CONTRACT,REQ00286,2025-05-06
TXN000048,ERP_EXPORT,SUP0014,Skyroute Travel,Travel,Finance,50645.58,INR,CTR0005,ON_CONTRACT,,2025-05-30
TXN000050,ERP_EXPORT,SUP0017,GreenEdge Services,Facilities Maintenance,Facilities,21091.27,INR,,OFF_CONTRACT,REQ00591,2025-07-07
TXN000051,ERP_EXPORT,SUP0014,Skyroute Travel,Travel,Operations,87505.94,INR,CTR0005,ON_CONTRACT,REQ00072,2026-03-07
TXN000053,ERP_EXPORT,SUP0019,Lumen Creative,Marketing Services,Operations,151529.85,INR,CTR0007,ON_CONTRACT,REQ00389,2026-03-13
TXN000054,ERP_EXPORT,SUP0008,Orion Office Supplies,Office Supplies,IT,22581.03,INR,CTR0003,ON_CONTRACT,REQ00216,2025-11-07
TXN000055,ERP_EXPORT,SUP0016,Prime Facility Care,Facilities Maintenance,Operations,45874.0,INR,CTR0006,ON_CONTRACT,REQ00813,2025-06-26
TXN000058,ERP_EXPORT,SUP0011,Sterling Advisory,Professional Services,R&D,81156.4,INR,CTR0004,ON_CONTRACT,REQ00672,2026-03-19
TXN000060,ERP_EXPORT,SUP0028,ORION OFFICE SUPPLIES,Office Supplies,Operations,9482.6,INR,,OFF_CONTRACT,,2025-06-02
TXN000061,ERP_EXPORT,SUP0022,Transcore Logistics,Logistics & Freight,Finance,44260.22,INR,CTR0008,ON_CONTRACT,,2025-11-13
TXN000062,ERP_EXPORT,SUP0021,Pulse Marketing Co,Marketing Services,Marketing,57988.86,INR,,OFF_CONTRACT,,2025-11-30
TXN000063,ERP_EXPORT,SUP0022,Transcore Logistics,Logistics & Freight,Human Resources,80785.21,INR,CTR0008,ON_CONTRACT,,2025-12-23
TXN000064,ERP_EXPORT,SUP0022,Transcore Logistics,Logistics & Freight,Facilities,41610.53,INR,CTR0008,ON_CONTRACT,,2025-07-30
TXN000066,ERP_EXPORT,SUP0008,Orion Office Supplies,Office Supplies,R&D,14482.01,INR,CTR0003,ON_CONTRACT,REQ00478,2025-10-30
TXN000067,ERP_EXPORT,SUP0001,Nexa Technologies Pvt Ltd,IT Hardware,IT,46843.25,INR,CTR0001,ON_CONTRACT,,2026-01-20
TXN000069,ERP_EXPORT,SUP0011,Sterling Advisory,Professional Services,Logistics,55655.64,INR,CTR0004,ON_CONTRACT,REQ00345,2026-03-09
TXN000071,ERP_EXPORT,SUP0001,Nexa Technologies Pvt Ltd,IT Hardware,Logistics,144697.94,INR,CTR0001,ON_CONTRACT,REQ00267,2025-10-12
TXN000072,ERP_EXPORT,SUP0016,Prime Facility Care,Facilities Maintenance,R&D,21922.94,INR,CTR0006,ON_CONTRACT,REQ00852,2025-11-02
TXN000073,ERP_EXPORT,SUP0015,Voyager Corporate Travel,Travel,IT,8452.81,INR,,OFF_CONTRACT,,2025-09-27
TXN000075,ERP_EXPORT,SUP0013,Adept Partners,Professional Services,Marketing,188440.04,INR,,OFF_CONTRACT,REQ00118,2026-01-14
TXN000076,ERP_EXPORT,SUP0011,Sterling Advisory,Professional Services,Finance,193091.51,INR,CTR0004,ON_CONTRACT,REQ00622,2025-05-29
TXN000077,ERP_EXPORT,SUP0008,Orion Office Supplies,Office Supplies,Human Resources,19739.22,INR,CTR0003,ON_CONTRACT,,2025-10-10
TXN000078,ERP_EXPORT,SUP0019,Lumen Creative,Marketing Services,Operations,30366.25,INR,CTR0007,ON_CONTRACT,REQ00792,2025-09-02
TXN000080,ERP_EXPORT,SUP0005,Cloudspan Software,IT Software & Licences,R&D,840961.85,INR,,OFF_CONTRACT,,2025-05-25
TXN000083,ERP_EXPORT,SUP0014,Skyroute Travel,Travel,Facilities,35133.64,INR,CTR0005,ON_CONTRACT,REQ00462,2025-08-03
TXN000085,ERP_EXPORT,SUP0016,Prime Facility Care,Facilities Maintenance,Human Resources,28658.94,INR,CTR0006,ON_CONTRACT,,2025-12-21
TXN000087,ERP_EXPORT,SUP0022,Transcore Logistics,Logistics & Freight,R&D,72557.31,INR,CTR0008,ON_CONTRACT,,2025-09-04
TXN000088,ERP_EXPORT,SUP0016,Prime Facility Care,Facilities Maintenance,R&D,48253.45,INR,CTR0006,ON_CONTRACT,,2026-01-07
TXN000089,ERP_EXPORT,SUP0016,Prime Facility Care,Facilities Maintenance,Human Resources,63232.76,INR,CTR0006,ON_CONTRACT,REQ00124,2025-07-08
TXN000090,ERP_EXPORT,SUP0016,Prime Facility Care,Facilities Maintenance,Marketing,38332.9,INR,CTR0006,ON_CONTRACT,REQ00757,2025-12-04
TXN000092,ERP_EXPORT,SUP0014,Skyroute Travel,Travel,Human Resources,66486.07,INR,CTR0005,ON_CONTRACT,REQ00056,2026-01-09
TXN000093,ERP_EXPORT,SUP0014,Skyroute Travel,Travel,Logistics,70384.37,INR,CTR0005,ON_CONTRACT,REQ00013,2026-01-19
TXN000094,ERP_EXPORT,SUP0014,Skyroute Travel,Travel,Marketing,54024.73,INR,CTR0005,ON_CONTRACT,,2025-08-08
TXN000095,ERP_EXPORT,SUP0022,Transcore Logistics,Logistics & Freight,Logistics,75990.28,INR,CTR0008,ON_CONTRACT,REQ00645,2026-03-18
TXN000102,ERP_EXPORT,SUP0009,Paperline Traders,Office Supplies,Marketing,16637.44,INR,,OFF_CONTRACT,,2026-01-30
TXN000103,ERP_EXPORT,SUP0014,Skyroute Travel,Travel,Human Resources,33777.19,INR,CTR0005,ON_CONTRACT,,2025-08-18
TXN000104,ERP_EXPORT,SUP0022,Transcore Logistics,Logistics & Freight,R&D,54211.37,INR,CTR0008,ON_CONTRACT,,2026-02-04
TXN000105,ERP_EXPORT,SUP0014,Skyroute Travel,Travel,IT,82420.45,INR,CTR0005,ON_CONTRACT,,2026-03-11
TXN000107,ERP_EXPORT,SUP0014,Skyroute Travel,Travel,Logistics,41651.4,INR,CTR0005,ON_CONTRACT,,2025-11-27
TXN000108,ERP_EXPORT,SUP0016,Prime Facility Care,Facilities Maintenance,Facilities,55333.07,INR,CTR0006,ON_CONTRACT,,2025-09-16
TXN000109,ERP_EXPORT,SUP0019,Lumen Creative,Marketing Services,R&D,52031.74,INR,CTR0007,ON_CONTRACT,,2026-01-07
TXN000110,ERP_EXPORT,SUP0001,Nexa Technologies Pvt Ltd,IT Hardware,Finance,36931.89,INR,CTR0001,ON_CONTRACT,REQ00792,2025-10-24
TXN000111,ERP_EXPORT,SUP0001,Nexa Technologies Pvt Ltd,IT Hardware,R&D,69911.48,INR,CTR0001,ON_CONTRACT,REQ00531,2025-10-03
TXN000113,ERP_EXPORT,SUP0023,FleetBridge Cargo,Logistics & Freight,Operations,89164.91,INR,,OFF_CONTRACT,,2025-09-07
TXN000114,ERP_EXPORT,SUP0001,Nexa Technologies Pvt Ltd,IT Hardware,Facilities,150258.66,INR,CTR0001,ON_CONTRACT,REQ00121,2026-02-26
TXN000116,ERP_EXPORT,SUP0019,Lumen Creative,Marketing Services,Marketing,142004.48,INR,CTR0007,ON_CONTRACT,,2025-08-20
TXN000119,ERP_EXPORT,SUP0019,Lumen Creative,Marketing Services,Operations,144958.26,INR,CTR0007,ON_CONTRACT,,2025-08-01
TXN000122,ERP_EXPORT,SUP0017,GreenEdge Services,Facilities Maintenance,Logistics,63765.48,INR,,OFF_CONTRACT,REQ00148,2025-10-27
TXN000127,ERP_EXPORT,SUP0017,GreenEdge Services,Facilities Maintenance,R&D,59080.89,INR,,OFF_CONTRACT,REQ00544,2025-10-28
TXN000128,ERP_EXPORT,SUP0008,Orion Office Supplies,Office Supplies,R&D,21796.8,INR,CTR0003,ON_CONTRACT,,2025-08-02
TXN000129,ERP_EXPORT,SUP0022,Transcore Logistics,Logistics & Freight,Human Resources,12577.03,INR,CTR0008,ON_CONTRACT,REQ00683,2025-04-05
TXN000130,ERP_EXPORT,SUP0022,Transcore Logistics,Logistics & Freight,Finance,54392.03,INR,CTR0008,ON_CONTRACT,,2025-09-01
TXN000131,ERP_EXPORT,SUP0019,Lumen Creative,Marketing Services,Human Resources,78437.54,INR,CTR0007,ON_CONTRACT,REQ00394,2025-12-04
TXN000132,ERP_EXPORT,SUP0005,Cloudspan Software,IT Software & Licences,Human Resources,38321.32,INR,CTR0002,ON_CONTRACT,,2025-08-30
TXN000133,ERP_EXPORT,SUP0025,NEXA TECHNOLOGIES PVT. LTD.,IT Hardware,IT,43579.13,INR,,OFF_CONTRACT,,2026-03-18
TXN000134,ERP_EXPORT,SUP0025,NEXA TECHNOLOGIES PVT. LTD.,IT Hardware,Human Resources,77330.35,INR,,OFF_CONTRACT,,2025-07-27
TXN000135,ERP_EXPORT,SUP0016,Prime Facility Care,Facilities Maintenance,Human Resources,66574.58,INR,CTR0006,ON_CONTRACT,,2026-03-04
TXN000138,ERP_EXPORT,SUP0011,Sterling Advisory,Professional Services,Finance,187633.98,INR,CTR0004,ON_CONTRACT,REQ00280,2025-06-24
TXN000140,ERP_EXPORT,SUP0005,Cloudspan Software,IT Software & Licences,Operations,117037.12,INR,CTR0002,ON_CONTRACT,,2026-03-12
TXN000141,ERP_EXPORT,SUP0021,Pulse Marketing Co,Marketing Services,R&D,154742.62,INR,,OFF_CONTRACT,REQ00550,2025-06-03
TXN000144,ERP_EXPORT,SUP0005,Cloudspan Software,IT Software & Licences,Human Resources,46592.22,INR,CTR0002,ON_CONTRACT,,2025-05-30
TXN000145,ERP_EXPORT,SUP0008,Orion Office Supplies,Office Supplies,Logistics,8551.33,INR,CTR0003,ON_CONTRACT,REQ00241,2026-01-01
TXN000146,ERP_EXPORT,SUP0008,Orion Office Supplies,Office Supplies,R&D,2848.4,INR,CTR0003,ON_CONTRACT,,2025-06-19
TXN000148,ERP_EXPORT,SUP0001,Nexa Technologies Pvt Ltd,IT Hardware,Logistics,102915.25,INR,CTR0001,ON_CONTRACT,,2025-10-03
TXN000149,ERP_EXPORT,SUP0006,Vertex Licensing,IT Software & Licences,Finance,20405.27,INR,,OFF_CONTRACT,REQ00283,2025-07-07
TXN000150,ERP_EXPORT,SUP0006,Vertex Licensing,IT Software & Licences,Operations,44257.88,INR,,OFF_CONTRACT,,2026-01-31
